"BusinessName","StreetAddress","Locality","Region","Country","Website","Phone","Email","FreePhone","FaxNumber","Mobile","AdditionalPhone","URL"
"Clean Air Management 2005 Ltd", "Unit 3/4 Winston Pl Henderson Auckland 0610", "Henderson, Henderson", "Auckland Region", "New Zealand", "http://www.caml.co.nz", "09 836 9262", "info@caml.co.nz", "", "09 836 9253", "", "", "http://yellow.co.nz/y/clean-air-management-2005"
"Spring Clean", "Servicing: Tuakau, Pukekohe, Waiuku, Papakura, Bombay, Clarks Beach, Karaka, Patumahoe Pukekohe", "Patumahoe, Pukekohe Area", "Auckland Region", "New Zealand", "", "09 235 9333", "a.lrowan@clear.net.nz", "", "", "", "", "http://yellow.co.nz/y/spring-clean-waiuku"
"Vergo Clean", "13 Marigold Pl Mairangi Bay Auckland", "Mairangi Bay, North Shore", "Auckland Region", "New Zealand", "", "09 479 9519", "alfred@vergoclean.co.nz", "", "", "", "", "http://yellow.co.nz/y/vergo-clean-mairangi"
"CleanScene Housewashing & Exterior Surfaces", "80 Weldene Ave Glenfield Auckland 0629", "Glenfield, North Shore", "Auckland Region", "New Zealand", "http://www.cleanscene.co.nz", "09 442 2388", "info@cleanscene.co.nz", "", "09 442 2383", "", "", "http://yellow.co.nz/y/cleanscene-housewashing-exterior"
"Clean Planet Franchise Ltd", "Servicing: NORTH SHORE, Mt Roskill, Glen Eden, Henderson, Avondale, Manukau, Albany, Kumeu, Auckland", "", "Auckland Region", "New Zealand", "http://www.cleanplanet.co.nz", "09 622 0828", "info@cleanplanet.co.nz", "", "09 636 3032", "", "", "http://yellow.co.nz/y/clean-planet-franchise"
"4 Sure Clean", "3/24 Merton Ave Glenfield Auckland Call Free", "Glenfield, North Shore", "Auckland Region", "New Zealand", "http://www.4sureclean.com/", "0800 644 689", "hotmailnz@hotmail.com", "", "", "", "", "http://yellow.co.nz/y/4-sure-clean-glenfield"
"Clean Bright", "Servicing: Manukau, Remuera, Albany, Howick, Mt Roskill, St Heliers, Henderson, Manurewa, Auckland City Auckland", "Auckland City", "Auckland Region", "New Zealand", "", "09 523 3531", "cleanbright@orcon.net.nz", "", "", "", "", "http://yellow.co.nz/y/clean-bright"
"Crewcut Commercial Cleaning", "Servicing: Albany, North Shore, Pakuranga, Henderson, Waitakere, Manukau, Papakura, Howick, Penrose Auckland Call Free", "Penrose, Auckland City", "Auckland Region", "New Zealand", "http://www.crewcut.co.nz/Cleaning", "0800 800 209", "info@crewcut.co.nz", "", "095238029", "", "", "http://yellow.co.nz/y/crewcut-commercial-cleaning-penrose"
"Rams Cleaning Services", "Servicing: Manukau, Waitakere, Henderson, Penrose, Mt Wellington, Albany, East Tamaki Auckland", "East Tamaki, Manukau City", "Auckland Region", "New Zealand", "http://www.ramscleaning.co.nz", "09 263 0646", "neelesh@ramscleaning.co.nz", "", "09 263 0647", "", "", "http://yellow.co.nz/y/rams-cleaning-services"
"Above & Beyond Cleaning Services Ltd", "Servicing: Henderson, Manurewa, Manukau, Howick, Auckland Central, Mt Roskill, St Heliers, Albany, Remuera Auckland Call Free", "Remuera, Auckland City", "Auckland Region", "New Zealand", "http://www.ceilingcleaningauckland.co.nz", "0800 003 364", "chris@abovebeyondcleaning.co.nz", "", "09 625 7747", "", "", "http://yellow.co.nz/y/above-beyond-ceiling"
"Thats Clean", "PO Box 51647 Pakuranga", "", "Auckland Region", "New Zealand", "http://www.thatsclean.co.nz", "09 274 7006", "info@thatsclean.co.nz", "", "", "", "", "http://yellow.co.nz/y/thats-clean"
"Onsite Blind Cleaning", "PO Box 202266 Southgate 2246", "Conifer Grove, Takanini", "Auckland Region", "New Zealand", "http://www.onsiteblindscleaning.co.nz", "09 296 3237", "onsite.blinds@xtra.co.nz", "", "09 296 8352", "", "", "http://yellow.co.nz/y/onsite-blind-cleaning"
"KP Group Ltd", "Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.sweeping.co.nz", "0800 263 5433", "info@sweeping.co.nz", "", "092635488", "", "", "http://yellow.co.nz/y/kp-group-auckland"
"City Cleaning Services Ltd", "Servicing: Auckland CBD, Orewa, Albany, Henderson, Mt Roskill, St Heliers, Howick, Manukau, Manurewa, Remuera Auckland", "Remuera, Auckland City", "Auckland Region", "New Zealand", "http://www.citycleaning.co.nz", "09 369 1199", "info@citycleaning.co.nz", "", "09 369 1188", "", "", "http://yellow.co.nz/y/city-cleaning-services"
"Eco Clean NZ", "27/188 Quay St Auckland 1010", "", "Auckland Region", "New Zealand", "http://www.ecocleannz.com", "09 377 1548", "admin@ecocleannz.com", "", "09 377 1548", "", "", "http://yellow.co.nz/y/eco-clean-nz"
"Clean Planet Franchise Ltd", "3 Cain Rd Penrose Auckland", "Penrose, Auckland City", "Auckland Region", "New Zealand", "http://www.cleanplanet.co.nz", "09 622 0828", "info@cleanplanet.co.nz", "", "09 636 3032", "", "", "http://yellow.co.nz/y/clean-planet-franchise-penrose"
"Spring Clean", "", "Waiuku, Waiuku Area", "Auckland Region", "New Zealand", "", "09 235 9333", "a.lrowan@clear.net.nz", "", "", "", "", "http://yellow.co.nz/y/spring-clean"
"United Cleaning Services Ltd", "Servicing: Henderson, Takapuna, Ponsonby, Papakura, Manukau, Albany, Howick, Auckland", "", "Auckland Region", "New Zealand", "http://www.unitedservices.co.nz", "09 379 9693", "info@unitedservices.co.nz", "", "09 3078809", "", "", "http://yellow.co.nz/y/united-cleaning-services-auckland"
"Paramount Cleaning Services", "Servicing: Mt Wellington, Northshore, Grey Lynn, Waitakere, Ponsonby, Penrose, Manukau, Auckland Call Free", "", "Auckland Region", "New Zealand", "http://www.service-is-paramount.co.nz", "0800 112 968", "csc@paraserve.com", "", "09 376 7851", "", "", "http://yellow.co.nz/y/paramount-cleaning-services-auckland"
"Clean It All", "32 Matipo Rd Mairangi Bay Auckland 0630", "Mairangi Bay, North Shore", "Auckland Region", "New Zealand", "http://www.cleanitall.co.nz", "09 476 3164", "", "", "", "", "", "http://yellow.co.nz/y/clean-it-all-mairangi"
"Ecobuddy Clean Limited", "Level 27 PWC Tower 188 Quay St Auckland", "Auckland Central, Auckland City", "Auckland Region", "New Zealand", "http://www.ecobuddy.co.nz", "09 363 2986", "info@ecobuddy.co.nz", "", "", "", "", "http://yellow.co.nz/y/ecobuddy-clean"
"Luv 2 Clean Ltd", "64A Kaipatiki Rd Glenfield Auckland", "Glenfield, North Shore", "Auckland Region", "New Zealand", "", "09 442 5210", "venessa_luv2clean@maxnet.co.nz", "", "", "", "", "http://yellow.co.nz/y/luv-2-clean"
"Clean Planet (North Shore) Limited", "Auckland", "", "Auckland Region", "New Zealand", "http://www.cleanplanet.co.nz", "09 302 7714", "info@cleanplanet.co.nz", "", "09 636 3032", "", "", "http://yellow.co.nz/y/clean-planet-north"
"Cleantastic Commercial Cleaners - Auckland", "Servicing: Manurewa, Manukau, Albany, Howick, Mt Roskill, St Heliers, Henderson, Auckland, Remuera Auckland", "Remuera, Auckland City", "Auckland Region", "New Zealand", "http://www.cleantastic.co.nz", "09 263 8714", "gregpaget@cleantastic.com", "", "", "", "", "http://yellow.co.nz/y/cleantastic-commercial-cleaners-remuera"
"Green Acres", "Servicing: Auckland CBD, Orewa, Albany, Henderson, Mt Roskill, St Heliers, Howick, Manukau, Manurewa, Remuera Auckland Call Free", "Remuera, Auckland City", "Auckland Region", "New Zealand", "http://www.greenacres.co.nz", "0800 803 200", "", "", "", "", "", "http://yellow.co.nz/y/green-acres-remuera"
